번호,발령일시,발령원,발령구분,재난종류,지역
223,2019-07-06 8:13,DMB인터페이스,DMB,폭염경보,"청주시,천안시,공주시,충주시,제천시,대전광역시,세종특별자치시,아산시,논산시,영동군,진천군,영월군,괴산군,부여군,광주광역시,음성군,단양군,청양군,증평군,홍성군,평택시,연천군"
224,2019-07-05 11:08,DMB인터페이스,DMB,폭염경보,"수원시,원주시,성남시,의정부시,동두천시,용인시,파주시,이천시,안성시,양주시,포천시"
225,2019-07-05 8:19,DMB인터페이스,DMB,폭염경보,"서울특별시,춘천시,홍천군,횡성군,화천군,고양시,구리시,남양주시,하남시,여주군,광주시,가평군,양평군"
226,2019-07-04 17:29,DMB인터페이스,DMB,폭염경보,"서울특별시,춘천시,홍천군,횡성군,화천군,고양시,구리시,남양주시,하남시,여주군,광주시,가평군,양평군"
227,2019-06-29 19:33,DMB인터페이스,DMB,호우 경보,거제시
228,2019-06-29 17:13,DMB인터페이스,DMB,호우 경보,완도군
229,2019-06-29 16:42,DMB인터페이스,DMB,호우 경보,"여수시,광양시,고흥군,보성군,장흥군,순천시"
230,2019-06-29 15:34,DMB인터페이스,DMB,호우 경보,"해남군,진도군,신안군"
231,2019-06-26 11:33,DMB인터페이스,DMB,호우 경보,완도군
232,2019-06-26 8:29,DMB인터페이스,DMB,호우 경보,제주특별자치도
233,2019-06-26 6:18,DMB인터페이스,DMB,호우 경보,제주특별자치도
234,2019-06-26 4:03,DMB인터페이스,DMB,호우 경보,제주특별자치도
235,2019-06-10 1:07,DMB인터페이스,DMB,호우 경보,세종특별자치시
236,2019-06-07 19:03,DMB인터페이스,DMB,강풍 경보,울릉군
237,2019-06-07 0:03,DMB인터페이스,DMB,호우 경보,부산광역시
238,2019-06-06 22:29,DMB인터페이스,DMB,호우 경보,"거제시,통영시"
239,2019-06-06 21:33,DMB인터페이스,DMB,호우 경보,"목포시,여수시,보성군,무안군"
240,2019-06-06 20:30,DMB인터페이스,DMB,호우 경보,"장흥군,강진군,해남군,영암군,완도군,신안군"
241,2019-06-06 17:37,DMB인터페이스,DMB,호우 경보,진도군
242,2019-06-06 17:00,DMB인터페이스,DMB,호우 경보,제주특별자치도
243,2019-06-06 16:34,중앙(Web),DMB,호우 경보,신안군
244,2019-05-30 9:59,DMB인터페이스,DMB,건조 경보,"강릉시,동해시,태백시,속초시,삼척시,홍천군,평창군,정선군,양구군,인제군,고성군,양양군"
245,2019-05-27 11:04,DMB인터페이스,DMB,호우 경보,서귀포시
246,2019-05-27 9:02,DMB인터페이스,DMB,호우 경보,제주시
247,2019-05-27 2:56,DMB인터페이스,DMB,호우 경보,제주특별자치도
248,2019-05-25 11:09,DMB인터페이스,DMB,건조 경보,"강릉시,속초시,홍천군,평창군,양구군,인제군,제주특별자치도,고성군,양양군"
249,2019-05-23 10:08,DMB인터페이스,DMB,건조 경보,"강릉시,동해시,속초시,삼척시,정선군,고성군,양양군"
250,2019-05-18 12:01,DMB인터페이스,DMB,풍랑 경보,"제주시,서귀포시"
251,2019-05-18 4:28,DMB인터페이스,DMB,호우 경보,제주시
252,2019-05-18 4:01,DMB인터페이스,DMB,호우 경보,제주특별자치도
253,2019-05-18 3:36,DMB인터페이스,DMB,호우 경보,완도군
254,2019-05-17 23:05,DMB인터페이스,DMB,호우 경보,서귀포시
255,2019-05-17 22:31,DMB인터페이스,DMB,호우 경보,제주특별자치도
256,2019-05-09 10:59,DMB인터페이스,DMB,건조 경보,제주특별자치도
257,2019-04-22 5:50,DMB인터페이스,DMB,지진통보,경상북도
258,2019-04-19 11:23,DMB인터페이스,DMB,지진통보,강원도
259,2019-04-16 10:59,DMB인터페이스,DMB,건조 경보,"강릉시,동해시,태백시,속초시,삼척시,홍천군,평창군,정선군,양구군,인제군,고성군,양양군"
260,2019-04-10 1:13,DMB인터페이스,DMB,대설 경보,"강릉시,동해시,태백시,삼척시,홍천군,평창군,정선군,영양군,봉화군,울진군"
261,2019-04-04 10:07,DMB인터페이스,DMB,건조 경보,"창원시,부산광역시,울산광역시,제주특별자치도,합천군"
262,2019-04-04 10:12,DMB인터페이스,DMB,강풍 경보,"강릉시,동해시,태백시,속초시,삼척시,홍천군,평창군,정선군,양구군,인제군,고성군,양양군"
263,2019-04-03 10:01,DMB인터페이스,DMB,건조 경보,"포항시,강릉시,경주시,동해시,광양시,태백시,속초시,삼척시,영천시,홍천군,대구광역시,평창군,경산시,정선군,영양군,양구군,인제군,영덕군,고성군,양양군,성주군,칠곡군,봉화군,울진군"
264,2019-03-28 15:48,DMB인터페이스,DMB,건조 경보,제주특별자치도
265,2019-03-20 20:56,DMB인터페이스,DMB,강풍 경보,제주시
266,2019-03-09 21:33,DMB인터페이스,DMB,호우 경보,제주특별자치도
267,2019-02-12 10:59,DMB인터페이스,DMB,건조 경보,"부산광역시,울산광역시"
268,2019-02-11 11:02,DMB인터페이스,DMB,건조 경보,"포항시,창원시,영주시,영천시,창녕군,진주시,영덕군"
269,2019-02-10 12:57,DMB인터페이스,DMB,지진통보,경상북도
270,2019-02-09 10:54,DMB인터페이스,DMB,건조 경보,"서울특별시,광양시,성남시,성주군,동두천시,과천시,오산시,광주시,포천시"
271,2019-02-03 5:24,DMB인터페이스,DMB,호우 경보,제주특별자치도
272,2019-01-31 18:04,DMB인터페이스,DMB,대설 경보,강릉시
273,2019-01-31 16:14,DMB인터페이스,DMB,대설 경보,양양군
274,2019-01-27 11:02,DMB인터페이스,DMB,건조 경보,"창원시,김해시,영천시,대구광역시,경산시,칠곡군"
275,2019-01-26 10:59,DMB인터페이스,DMB,건조 경보,영덕군
276,2019-01-25 18:06,DMB인터페이스,DMB,대설 경보,울릉군
277,2019-01-25 11:02,DMB인터페이스,DMB,건조 경보,"포항시,경주시,상주시,문경시,부산광역시,울산광역시"
278,2019-01-21 11:03,DMB인터페이스,DMB,건조 경보,"강릉시,동해시,태백시,속초시,삼척시,홍천군,평창군,정선군,양구군,인제군,고성군,양양군"
279,2019-01-18 11:00,DMB인터페이스,DMB,건조 경보,"강릉시,동해시,속초시,삼척시,고성군,양양군"
