기간,품목명,품목코드,국가명,수출중량,수입중량,수출금액,수입금액,무역수지
2020,구리와 그 제품,74,중국,"295,804.30","66,482.70","1,973,461","429,885","1,543,576"
2020,니켈과 그 제품,75,일본,"6,473.50","3,809.60","38,079","78,275","-40,196"
2020,니켈과 그 제품,75,중국,"3,218.40",673.5,"32,952","24,441","8,511"
2020,알루미늄과 그 제품,76,일본,"61,477.40","129,107.30","265,909","296,103","-30,194"
2020,알루미늄과 그 제품,76,중국,"306,431.60","323,788.90","741,877","995,699","-253,822"
2020,납과 그 제품,78,일본,"6,677.20","8,682.10","13,395","16,037","-2,643"
2020,납과 그 제품,78,중국,"18,021.70",693.9,"34,179","1,807","32,372"
2020,아연과 그 제품,79,일본,"1,683.50",593.8,"4,207","1,078","3,128"
2020,아연과 그 제품,79,중국,"149,298.40",385.1,"337,010","4,720","332,290"
2020,주석과 그 제품,80,일본,119.6,307.9,"2,146","16,327","-14,181"
2020,주석과 그 제품,80,중국,339.5,937.7,"9,374","14,313","-4,938"
2020,"그 밖의 비금속(卑金屬), 서멧(cermet), 이들의 제품",81,일본,"1,373.40","3,110.50","31,543","115,631","-84,089"
2020,"그 밖의 비금속(卑金屬), 서멧(cermet), 이들의 제품",81,중국,"8,075.30","108,118.70","72,669","361,159","-288,491"
2020,"비금속(卑金屬)으로 만든 공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크, 이들의 부분품",82,일본,"12,244.10","3,714.10","179,220","174,052","5,169"
2020,"비금속(卑金屬)으로 만든 공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크, 이들의 부분품",82,중국,"11,038.30","31,736.40","259,169","299,584","-40,414"
2020,비금속(卑金屬)으로 만든 각종 제품,83,일본,"16,872.80","1,013.70","61,068","28,199","32,869"
2020,비금속(卑金屬)으로 만든 각종 제품,83,중국,"18,069.70","84,212.00","117,712","391,789","-274,077"
2020,원자로ㆍ보일러ㆍ기계류와 이들의 부분품,84,일본,"253,071.20","243,922.80","2,836,156","8,605,128","-5,768,972"
2020,원자로ㆍ보일러ㆍ기계류와 이들의 부분품,84,중국,"729,440.90","1,182,964.50","15,792,421","13,866,825","1,925,596"
2020,"전기기기와 그 부분품, 녹음기ㆍ음성 재생기ㆍ텔레비전의 영상과 음성의 기록기ㆍ재생기와 이들의 부분품ㆍ부속품",85,일본,"132,669.00","47,136.20","3,246,351","7,300,027","-4,053,675"
2020,"전기기기와 그 부분품, 녹음기ㆍ음성 재생기ㆍ텔레비전의 영상과 음성의 기록기ㆍ재생기와 이들의 부분품ㆍ부속품",85,중국,"232,658.90","861,534.90","48,865,001","36,906,684","11,958,317"
2020,"철도용이나 궤도용 기관차ㆍ차량과 이들의 부분품, 철도용이나 궤도용 장비품과 그 부분품, 기계식(전기기계식을 포함한다) 각종 교통신호용 기기",86,일본,"5,678.00","2,560.20","14,548","24,392","-9,843"
2020,"철도용이나 궤도용 기관차ㆍ차량과 이들의 부분품, 철도용이나 궤도용 장비품과 그 부분품, 기계식(전기기계식을 포함한다) 각종 교통신호용 기기",86,중국,"35,737.10","85,089.00","25,860","116,492","-90,632"
2020,철도용이나 궤도용 외의 차량과 그 부분품ㆍ부속품,87,일본,"68,223.60","99,482.90","400,513","1,433,791","-1,033,279"
2020,철도용이나 궤도용 외의 차량과 그 부분품ㆍ부속품,87,중국,"144,688.60","244,617.70","1,151,754","1,790,094","-638,339"
2020,"항공기와 우주선, 이들의 부분품",88,일본,422.4,12.5,"173,043","5,570","167,472"
2020,"항공기와 우주선, 이들의 부분품",88,중국,203.6,156.6,"34,431","21,922","12,509"
2020,선박과 수상 구조물,89,일본,"38,513.50","477,797.30","188,301","310,033","-121,732"
2020,선박과 수상 구조물,89,중국,"57,198.50","1,618,898.10","22,433","1,409,612","-1,387,180"
2020,"광학기기ㆍ사진용 기기ㆍ영화용 기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용 기기, 이들의 부분품과 부속품",90,일본,"4,963.80","16,504.10","653,900","3,299,302","-2,645,402"
2020,"광학기기ㆍ사진용 기기ㆍ영화용 기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용 기기, 이들의 부분품과 부속품",90,중국,"109,398.80","105,260.50","8,672,657","2,771,727","5,900,930"
2020,시계와 그 부분품,91,일본,20.5,23.8,"2,432","8,469","-6,037"
2020,시계와 그 부분품,91,중국,64.9,"2,971.60","10,323","105,832","-95,509"
2020,악기와 그 부분품과 부속품,92,일본,57.2,554.8,"3,313","18,424","-15,111"
2020,악기와 그 부분품과 부속품,92,중국,"13,754.80","6,584.10","15,313","65,759","-50,446"
2020,무기ㆍ총포탄과 이들의 부분품과 부속품,93,일본,5.4,0,59,6,52
2020,무기ㆍ총포탄과 이들의 부분품과 부속품,93,중국,0,72.7,2,"1,134","-1,133"
2020,"가구, 침구ㆍ매트리스ㆍ매트리스 서포트(mattress support)ㆍ쿠션과 이와 유사한 물품, 다른 류로 분류되지 않은 램프ㆍ조명기구, 조명용 사인ㆍ조명용 네임플레이트(name-plate)와 이와 유사한 물품, 조립식 건축물",94,일본,"14,570.50","1,333.10","121,017","28,774","92,243"
2020,"가구, 침구ㆍ매트리스ㆍ매트리스 서포트(mattress support)ㆍ쿠션과 이와 유사한 물품, 다른 류로 분류되지 않은 램프ㆍ조명기구, 조명용 사인ㆍ조명용 네임플레이트(name-plate)와 이와 유사한 물품, 조립식 건축물",94,중국,"13,306.80","608,041.70","227,499","2,319,709","-2,092,211"
2020,완구ㆍ게임용구ㆍ운동용구와 이들의 부분품과 부속품,95,일본,"1,320.40","4,041.80","42,258","435,673","-393,415"
2020,완구ㆍ게임용구ㆍ운동용구와 이들의 부분품과 부속품,95,중국,"1,861.10","153,869.90","44,436","1,204,144","-1,159,709"
2020,잡품,96,일본,"2,482.20","4,004.90","59,335","89,275","-29,940"
2020,잡품,96,중국,"3,128.40","72,211.40","60,027","476,795","-416,769"
2020,예술품ㆍ수집품ㆍ골동품,97,일본,8.4,29.7,"2,696","34,019","-31,323"
2020,예술품ㆍ수집품ㆍ골동품,97,중국,6.9,317.9,"1,977","6,349","-4,372"
2020,"일시적 입법 ; 설치된 간이 수정에 따른 입법을 트레이드한다 ; 추가적 수입제한농업인 것의 제 22 부에 따른 확립된 것 조정 행위, 수정된 것처럼",99,일본,0,157.9,0,0,0
2020,"일시적 입법 ; 설치된 간이 수정에 따른 입법을 트레이드한다 ; 추가적 수입제한농업인 것의 제 22 부에 따른 확립된 것 조정 행위, 수정된 것처럼",99,중국,0,"4,750.80",0,0,0
