품목별 국가별  수출입실적,,,,,,,,
,,,,,,,,
"통계기준:수리일,조회구분:2020~2020,품목명:전체,국가:[중국, 일본]",,,,,,,,
,,,,,,,,"단위:천 불(USD 1,000) / 톤(TON)"
기간,품목명,품목코드,국가명,수출중량,수입중량,수출금액,수입금액,무역수지
2020,"전기기기와 그 부분품, 녹음기ㆍ음성 재생기ㆍ텔레비전의 영상과 음성의 기록기ㆍ재생기와 이들의 부분품ㆍ부속품",85,중국,"232,658.9","861,534.9","48,865,001","36,906,684","11,958,317"
2020,"철도용이나 궤도용 기관차ㆍ차량과 이들의 부분품, 철도용이나 궤도용 장비품과 그 부분품, 기계식(전기기계식을 포함한다) 각종 교통신호용 기기",86,일본,"5,678.0","2,560.2","14,548","24,392","-9,843"
2020,"철도용이나 궤도용 기관차ㆍ차량과 이들의 부분품, 철도용이나 궤도용 장비품과 그 부분품, 기계식(전기기계식을 포함한다) 각종 교통신호용 기기",86,중국,"35,737.1","85,089.0","25,860","116,492","-90,632"
2020,철도용이나 궤도용 외의 차량과 그 부분품ㆍ부속품,87,일본,"68,223.6","99,482.9","400,513","1,433,791","-1,033,279"
2020,철도용이나 궤도용 외의 차량과 그 부분품ㆍ부속품,87,중국,"144,688.6","244,617.7","1,151,754","1,790,094","-638,339"
2020,"항공기와 우주선, 이들의 부분품",88,일본,422.4,12.5,"173,043","5,570","167,472"
2020,"항공기와 우주선, 이들의 부분품",88,중국,203.6,156.6,"34,431","21,922","12,509"
2020,선박과 수상 구조물,89,일본,"38,513.5","477,797.3","188,301","310,033","-121,732"
2020,선박과 수상 구조물,89,중국,"57,198.5","1,618,898.1","22,433","1,409,612","-1,387,180"
2020,"광학기기ㆍ사진용 기기ㆍ영화용 기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용 기기, 이들의 부분품과 부속품",90,일본,"4,963.8","16,504.1","653,900","3,299,302","-2,645,402"
2020,"광학기기ㆍ사진용 기기ㆍ영화용 기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용 기기, 이들의 부분품과 부속품",90,중국,"109,398.8","105,260.5","8,672,657","2,771,727","5,900,930"
2020,시계와 그 부분품,91,일본,20.5,23.8,"2,432","8,469","-6,037"
2020,시계와 그 부분품,91,중국,64.9,"2,971.6","10,323","105,832","-95,509"
2020,악기와 그 부분품과 부속품,92,일본,57.2,554.8,"3,313","18,424","-15,111"
2020,악기와 그 부분품과 부속품,92,중국,"13,754.8","6,584.1","15,313","65,759","-50,446"
2020,무기ㆍ총포탄과 이들의 부분품과 부속품,93,일본,5.4,0.0,59,6,52
2020,무기ㆍ총포탄과 이들의 부분품과 부속품,93,중국,0.0,72.7,2,"1,134","-1,133"
2020,"가구, 침구ㆍ매트리스ㆍ매트리스 서포트(mattress support)ㆍ쿠션과 이와 유사한 물품, 다른 류로 분류되지 않은 램프ㆍ조명기구, 조명용 사인ㆍ조명용 네임플레이트(name-plate)와 이와 유사한 물품, 조립식 건축물",94,일본,"14,570.5","1,333.1","121,017","28,774","92,243"
2020,"가구, 침구ㆍ매트리스ㆍ매트리스 서포트(mattress support)ㆍ쿠션과 이와 유사한 물품, 다른 류로 분류되지 않은 램프ㆍ조명기구, 조명용 사인ㆍ조명용 네임플레이트(name-plate)와 이와 유사한 물품, 조립식 건축물",94,중국,"13,306.8","608,041.7","227,499","2,319,709","-2,092,211"
2020,완구ㆍ게임용구ㆍ운동용구와 이들의 부분품과 부속품,95,일본,"1,320.4","4,041.8","42,258","435,673","-393,415"
2020,완구ㆍ게임용구ㆍ운동용구와 이들의 부분품과 부속품,95,중국,"1,861.1","153,869.9","44,436","1,204,144","-1,159,709"
2020,잡품,96,일본,"2,482.2","4,004.9","59,335","89,275","-29,940"
2020,잡품,96,중국,"3,128.4","72,211.4","60,027","476,795","-416,769"
2020,예술품ㆍ수집품ㆍ골동품,97,일본,8.4,29.7,"2,696","34,019","-31,323"
2020,예술품ㆍ수집품ㆍ골동품,97,중국,6.9,317.9,"1,977","6,349","-4,372"
