기준년월, 처리지사코드, 금융지원구분, 지원자수, 지원금액, 적재기준일자, 적재일시
201902,2140,3,8,15000000,20191017,2019-10-18 5:55
201902,2150,3,4,7800000,20191017,2019-10-18 5:55
201902,3000,3,55,82760000,20191017,2019-10-18 5:55
201902,3001,3,51,91500000,20191017,2019-10-18 5:55
201902,3010,3,38,65100000,20191017,2019-10-18 5:55
201902,3020,3,47,90110000,20191017,2019-10-18 5:55
201902,3110,3,40,68760000,20191017,2019-10-18 5:55
201902,3120,3,39,69950000,20191017,2019-10-18 5:55
201902,3130,3,45,83600000,20191017,2019-10-18 5:55
201902,3140,3,5,9000000,20191017,2019-10-18 5:55
201902,3150,3,30,59000000,20191017,2019-10-18 5:55
201902,4000,3,56,89380000,20191017,2019-10-18 5:55
201902,4001,3,18,32700000,20191017,2019-10-18 5:55
201902,4020,3,19,36650000,20191017,2019-10-18 5:55
201902,4030,3,15,27010000,20191017,2019-10-18 5:55
201902,4110,3,15,28000000,20191017,2019-10-18 5:55
201902,4120,3,2,6000000,20191017,2019-10-18 5:55
201902,4130,3,2,4000000,20191017,2019-10-18 5:55
201902,4140,3,2,1850000,20191017,2019-10-18 5:55
201902,5000,3,97,179370000,20191017,2019-10-18 5:55
201902,5010,3,34,56450000,20191017,2019-10-18 5:55
201902,5110,3,55,99350000,20191017,2019-10-18 5:55
201902,5120,3,25,52100000,20191017,2019-10-18 5:55
201902,5130,3,20,32000000,20191017,2019-10-18 5:55
201902,5140,3,16,29420000,20191017,2019-10-18 5:55
201902,5160,3,20,38900000,20191017,2019-10-18 5:55
201902,5170,3,8,15000000,20191017,2019-10-18 5:55
201902,5180,3,23,45600000,20191017,2019-10-18 5:55
201902,5190,3,2,4000000,20191017,2019-10-18 5:55
201902,5210,3,1,2000000,20191017,2019-10-18 5:55
201902,6000,3,41,76900000,20191017,2019-10-18 5:55
201902,6001,3,8,13850000,20191017,2019-10-18 5:55
201902,6110,3,24,45650000,20191017,2019-10-18 5:55
